instance_id,título,text
QYSCPD,Grevillea vestita,"Grevillea vestita es un arbusto que es endémico de sudoeste de Australia Occidental . Alcanza usualmente los 3 metros de altura y tiene hojas con depresiones que llegan a los 50 mm de longitud y los 30 mm de ancho. Las flores son blancas, crema y ocasionalmente rosa pálido y son más abundantes en invierno o primavera, aunque pueden florecer esporádicamente durante todo el año. El tipo espécimen de esta especie fue encontrada en la región de King George Sound y descrita por el botánico austriaco Stephan Endlicher en 1839 que le dio el nombre de Manglesia vestita. En 1845 Meissner incluye la especie en el género  Grevillea. Grevillea vestita fue descrita por (Endl.) Meisn. y publicado en Plantae Preissianae 1: 548. 1845.[1]​ Grevillea, el nombre del género fue nombrado en honor de Charles Francis Greville, co-foundador de la Royal Horticultural Society. El epíteto específico de vestita deriva de la palabra latina vestitus que significa ""cubierta de pelos"". Tiene las siguientes subespecies: "
PH5JCC,DebRA,"DebRA U.K. (acrónimo de Dystrophic Epidermolysis Bullosa Research Association) es una asociación caritativa británica dedicada a la investigación médica que permita curar la epidermólisis bullosa, una enfermedad genética que, en sus formas más severas, afecta a toda la piel del cuerpo y las mucosas. En los casos más graves, la piel se ampolla o se rasga de la carne ante la más mínima fricción, por ejemplo, cuando un enfermo gira la cabeza mientras duerme puede sufrir el desprendimiento de la piel de las orejas, despertando en la mañana con más de treinta ampollas. No hay tratamiento para la epidermólisis bullosa, solo la punción y el drenaje de las ampollas para evitar su crecimiento. Los afectados por las formas más severas mueren prematuramente de cáncer de piel. La mayoría de estos tienen una esperanza de vida de entre treinta y cuarenta años, mientras que los menos afortunados fallecen en la infancia. Cada día, los enfermos de epidermólisis bullosa batallan contra la pérdida de fluidos y las infecciones que los amenazan por sus heridas abiertas. Los más afectados tienen dificultad para comer debido al crudo estado de sus bocas, por lo que tienen que alimentarse a través de tubos. Hay formas menos complejas de esta enfermedad que solo afectan a pies y manos. DebRA U.K. provee de apoyo vital a los pacientes a través del sistema Specialist Outreach Nurses, o 'Enfermeras especialistas de extensión', que visitan al recién nacido en el hospital para aconsejar al personal y a los familiares sobre cómo cuidar al niño, un servicio que continúa en casa con visitas regulares. DebRA también posee un equipo de trabajadores de apoyo que colabora con las familias para enfrentar la carga económica que significa tener a un niño con epidermólisis bullosa, ayudando a conseguir el equipamiento necesario cuando el apoyo financiero no está disponible en otras partes. DebRA U.K. fue creada el 22 de julio de 1978 por un grupo de padres de niños afectados por la epidermólisis bullosa. En ese entonces, solo se habían diagnosticado doscientos casos en el Reino Unido. Esta organización es poco conocida por lo rara que resulta esta enfermedad y, además, por el hecho de que DebRA no cuenta con presupuesto para publicidad, ya que la mayoría de los fondos son usados para ayudar a los enfermos y a sus familias y para realizar investigaciones que exploran diferentes aspectos de la condición con la esperanza de hallar un tratamiento efectivo que cure la enfermedad. Además de lo anterior, DebRA trabaja por una vida sin dolor para todos los afectados por la epidermólisis bullosa. "
JZTNE4,Herndon (Pensilvania),"Herndon es un borough ubicado en el condado de Northumberland en el estado estadounidense de Pensilvania. En el año 2000 tenía una población de 383 habitantes y una densidad poblacional de 184.8 personas por km².[2]​ Herndon se encuentra ubicado en las coordenadas 40°42′15″N 76°50′36″O﻿ / ﻿40.70417, -76.84333.[3]​ Según la Oficina del Censo en 2000 los ingresos medios por hogar en la localidad eran de $37,750 y los ingresos medios por familia eran $44,063. Los hombres tenían unos ingresos medios de $29,875 frente a los $17,969 para las mujeres. La renta per cápita para la localidad era de $23,156. Alrededor del 9.4% de la población estaba por debajo del umbral de pobreza.[4]​ "
4RB2TT,Ophion,"Ophion es un género de insecto de la familia Ichneumonidae.[1]​ Miden de 10 a 19 mm. Son de distribución holártica, hay 17 especies en el Neártico y 79 en el Paleártico. Habitan las copas de los árboles o arbustos. Las larvas generalmente se alimentan de orugas.[2]​ "
PNAVOT,María Cegarra Salcedo,"María Cegarra Salcedo (La Unión, 1899 - Murcia, 1993) fue una poeta española, así como la primera licenciada de España en Ciencias Químicas.[1]​ De padre comerciante y madre maestra de origen andaluz, el precedente literario en su familia fue su hermano Andrés Cegarra Salcedo, escritor y creador de la Editorial Levante. [2]​ Tras la muerte de dicho hermano, María publicó su primer poema, Cristales míos, y tras el fallecimiento de su hermana, muy cercano a su propia desaparición, surgió su última obra, Poemas para un silencio.[1]​ Entre los años 1921 y 1924 prestó servicios como ayudante técnica en el laboratorio de análisis industriales de la viuda de Francisco Munuera con el haber mensual de 200 pesetas. Luego, desde finales de los años veinte y durante varias décadas, estuvo al frente de su propio laboratorio de análisis químicos, orientado a la explotación minera, en la casa familiar, c/. Bailén n° 10.[1]​ Obtuvo el título de Perito Químico en la Escuela Politécnica Superior de Alcoy (EPSA) el 7 de mayo de 1928. Tras la muerte de su hermano Andrés en 1928, ella se dedicó a la poesía. Gracias a él había conocido a Carmen Conde, con la que mantuvo una larga y profunda amistad recogida en un epistolario. Participó en las actividades llevadas a cabo en la Universidad Popular que Conde y Antonio Oliver fundaron en dicha ciudad. También entabló amistad con el periodista Raimundo de los Reyes y los poetas Miguel Hernández y Ramón Sijé.[3]​ Con Hernández mantuvo una estrecha relación.[4]​ En 1935 publicó su primer poemario Cristales míos, que contó con un prólogo del escritor Ernesto Giménez Caballero.[3]​ En 1946, obtuvo la licenciatura en Ciencias Químicas por la Universidad de Murcia. Además, Cegarra ejerció la docencia durante cuarenta años en distintos centros de enseñanza de Cartagena, así como en otros centros de Formación Profesional y Bachillerato, entre ellos, en la Escuela de Peritos Industriales. Cegarra entró en política como concejal del Ayuntamiento de La Unión en la década de 1960, siendo la primera concejal del Ayuntamiento de La Unión.[5]​ Falleció el 26 de marzo de 1993. Acerca de su modo de componer, María había manifestado: No soy mujer de ponerme en una mesa y que me salgan las cosas rápidamente. Es muy difícil explicar cómo es la génesis de un poema. Ya te digo que primero tengo la idea, un verso que te sale de golpe y que luego desarrollo lentamente en el papel. Lo desarrollo, busco lo que suena mejor, le añado o le quito un adjetivo (...). Después viene la labor de corrección y, a veces, de ampliación, y así lo voy haciendo, lentamente. Maduro y alimento cada poema, apenas hago correcciones y los dejo reposar. Soy mujer de silencios más que de palabras. Yo escribo para mí y para nadie más; no me preocupa que me lean. Yo nunca pienso en nadie cuando escribo. Cooperó en una de las revistas más prestigiosas del momento, La Gaceta Literaria, dirigida por Giménez Caballero.[6]​ Junto a Carmen Conde escribió la obra teatral Mineros (1932-1933) en la que conjugan ficción con elementos autobiográficos ya que está inspirada en la vida de Cegarra y de su familia. Así mismo está ligada a la historia del movimiento obrero en el distrito minero de la Unión.[6]​ Su poesía es humana, profunda, de exquisita verbalidad, pero despojada de preciosismo; su temática es afín al espíritu trascendentalista de las generaciones de los años 1940 y 1950.[1]​ Poesía definida, al modo juanramoniano, como triple ansia de belleza, conocimiento y eternidad. Colaboró en las revistas La Región, La Verdad, Tránsito, Levante Agrario, Títiro Canta, Monteagudo, entre otras. Publicó su Poesía completa en 1987, con introducción de Santiago Delgado.[7]​ "
6LSBP7,Wild Wadi,"Wild Wadi Water Park es un parque acuático a cielo abierto ubicado en la ciudad de Dubái en los Emiratos Árabes Unidos. Ubicado en Jumeirah, cerca del Burj Al Arab y del Jumeirah Beach Hotel, este hotel es operado por Jumeirah (hotelera), una hotelera dubaití. A este parque concurren miles de personas todos los años para divertirse con los juegos que posee como por ejemplo un tobogán acuático y muchos otros atractivos. El parque posee una piscina de olas calentada/enfriada, múltiples toboganes y 2 máquinas de surf artificiales. El parque solía tener el mayor tobogán fuera de Norteamérica, pero desde entonces ha sido removido para dar lugar a otras atracciones. Otras característica del parque son: una cáscada de 18 metros (o 59 pies), 2 tiendas de regalos, 3 restaurantes y 2 puestos de comida. Apareció en The Amazing Race, en donde equipos tuvieron que deslizarse por 21 metros verticalmente. Luego apareció en The Amazing Race Australia 2, donde los equipos usaron la máquina de surf para llegar al final de un camino, donde alcanzarían su siguiente pista. También es el parque acuático que gasta más agua en el mundo. [cita requerida] El precio de las entradas en Wild Wadi se basa en la altura del individuo. Se separa en 2 categorías: más de 11 decímetros o menos de 11 decímetros. Hay descuentos para quienes reserven entradas en el sitio web. Además, los niños menores de 2 entran gratis si la edad es demostrada. Se cobran las toallas y casilleros "
CRL3PS,Transgas (edificio),"Transgas (posteriormente Transgaz, Budovy Ústředního dispečinku tranzitního plynovodu, Světové odborové federace o Federálního ministerstva paliv a energetiky) es un edificio del estilo de brutalismo de los aňos 70. del siglo XX. Fue construido como puesto de control del conducto de gas trasladando gas de la Unión Soviética por Checoslovaquia al oeste. Los arquitectos eran Jiří Eisenreich, Jindřich Malátek, Václav Aulický e Ivo Loos (quién diseňó la fuente detrás). El complejo de edificios funcionó desde el aňo 1978 hasta el siglo XXI cuando fue vendido a la compañía privada, que quiera destruirlo y construir en su puesto el nuevo complejo de edificios.[1]​[2]​ Parte de la sala de control. Fachada en detalle. Uso de pipas. Otro edificio grande. Fachada en detalle. El último edificio más joven. El trozo de la fuente de Ivo Loos. "
WZ82AU,Garshuni,"El garshuni, karshuni, guyhuni, carchuni o escritura carchuni (alfabeto siríaco: ܓܪܫܘܢܝ, alfabeto árabe: كرشوني) es un sistema de transcripción del idioma árabe que utiliza las letras del alfabeto siríaco. Su etimología no se conoce bien pero Rubens Duval evoca el nombre de Guerschom (transcrito en siríaco Geršon o Gersón), hijo de Moisés, inventor mítico de la escritura.[1]​ Se lee en Éxodo 2:22:Éxodo 2:22 ""Ella dio a luz un hijo; y él le puso por nombre Gersón, porque dijo: 'Fui forastero en tierra extranjera.'"" 'Garshuni' proviene de la palabra 'grasha' que se traduce literalmente como 'tirar', 'jalar'. La palabra 'Garshuni' fue utilizada por George Kiraz para acuñar el término 'garshunografía', para denotar la escritura de un idioma en el alfabeto de otro.[2]​ El garshuni ha sido utilizado por cristianos de habla árabe que pertenecen a iglesias que tienen el siríaco como lenguaje litúrgico. Los testimonios más antiguos se refieren a las Iglesias siríacas occidentales, especialmente la Iglesia maronita. Uno de los primeros textos fechados es una nota marginal en un manuscrito maronita de las Homilías de Jacob de Batnes, con fecha 10 de julio de 1141 (año 1452 de la era seléucida en el texto) que da cuenta de la promoción de un monje llamado Daniel como abad del Monasterio de San Juan de Juzbandu (Chipre), por el patriarca maronita. El Códice Rabbula, también de origen maronita, cuyos márgenes se han utilizado como archivo de varios actos notariales, contiene 35 notas en árabe, 12 de las cuales están en alfabeto árabe y 23 en garshuni, y el más antiguo (folio 7b), que también se refiere al nombramiento de un monje, esta vez llamado Iš'aya, como abad de San Juan de Juzbandu, lleva la fecha del 8 de septiembre de 1154 (año 1465 de la era de los seléucidas). Anteriormente, el BL Add. 14644 (manuscrito del siglo VI de la colección nitriena, pasando de Mesopotamia a Egipto en 932, presenta quizás un ejemplo aislado de texto en garshuni  (una nota que da una receta para la preparación de la tinta), que se remonta al siglo VIII o IX, pero la datación es incierta. En cuanto a los primeros libros completos transcritos de acuerdo con este sistema, son más recientes: S. K. Samir para el manuscrito Vat. arab. 135, que data de 1384, y el 'Vat. arab. 146 de 1392. Para los siríacos orientales, la evidencia más temprana se remonta solo al siglo XVII (quizás relacionada con el desarrollo de la influencia católica). El uso del alfabeto árabe se extendió anteriormente entre los cristianos de habla árabe. A veces se alterna con el garshuni en el mismo texto, lo que indica que la motivación no es simplemente práctica. El apego al alfabeto siríaco tradicional correspondía, principalmente entre los maronitas, a la afirmación de la identidad cultural amenazada. Pero con el renacimiento cultural árabe del siglo XIX (Al-Nahda), el garshuni empezó a dejar de usarse. El alfabeto sirio tiene tres variedades principales: El alfabeto siríaco se amplía mediante el uso de diacríticos para escribir garshuni. La palabra garshuni a veces se ha extendido a la transcripción de otros idiomas además del árabe por el alfabeto siríaco: turco (principalmente el azerí), persa, armenio, sogdiano, kurdo o malayalam. Estos casos, además, se refieren principalmente a los siríacos orientales. A veces también se los conoce como 'garshunis'. Con varios caracteres adicionales, la versión en malayalam es mejor conocida como Karsoni y habría estado en uso hasta principios del siglo XX entre los clérigos y seguidores cristianos siríacos keralitas. Para la práctica análoga judía de escribir árabe en letras hebreas, ver idiomas judeoárabes. Hoy, los asirios usan la palabra 'garshuni' cuando se refieren a un idioma hablado, escrito usando algo diferente a su escritura, por ejemplo, asirio hablado escrito usando el alfabeto latino. "
1VR5EP,Paphiopedilum charlesworthii,"Paphiopedilum charlesworthii es una especie de planta perteneciente a la familia  Orchidaceae. Es endémica de Estado Shan en  Birmania (Mianmar) y áreas adyacentes de  Tailandia y Yunnan en China. Su hábitat natural son las selvas húmedas bajas tropicales o subtropicales. Es una orquídea epifita con hojas lineales de color verde claro con manchas de color púrpura en el envés de cerca de la base. Florece a finales del verano y el otoño en una sola inflorescencia terminal pubescente, erecta, de 25 cm de largo cubierta con manchas rojizas y con brácteas florales  obovadas que cubren 2/3 del ovario y una flor de larga duración.[1]​ Se encuentra en Assam (India), Birmania, Tailandia, y suroeste de China en picos aislados en elevaciones de 1200 a 2000 metros en la sombra profunda en las laderas que dan al oeste o el noroeste, cerca de agua tibia. Tiene hábitos de epifita pero crece cada vez más en la roca caliza. Cypripedium charlesworthii fue descrita por (Rolfe) Pfitzer y publicado en Botanische Jahrbücher für Systematik, Pflanzengeschichte und Pflanzengeographie 19: 40. 1894[1895].[2]​ El nombre del género viene de « Cypris», Venus, y de ""pedilon"" = ""zapato"" o ""zapatilla"" en referencia a su labelo inflado en forma de zapatilla. charlesworthii; epíteto "
XHPITO,Charles Geschke,"Charles Matthew ""Chuck"" Geschke (Cleveland, Ohio; 11 de septiembre de 1939 - Los Altos, California; 16 de abril de 2021) fue un empresario e informático estadounidense. Fue mejor conocido como fundador de la empresa de software de gráficos y publicación Adobe, que cofundó junto a John Warnock en 1982. Charles Matthew Geschke nació en Cleveland, Ohio, el 11 de septiembre de 1939.[1]​[2]​ Asistió a la escuela secundaria Saint Ignatius.[3]​ Geschke obtuvo una licenciatura en clásicos en 1962 y una maestría en matemáticas en 1963, ambos de la Universidad Xavier. [2]​ Enseñó matemáticas en la Universidad John Carroll de 1963 a 1968. En 1972, completó sus estudios de doctorado en ciencias de la computación en la Universidad Carnegie Mellon bajo el asesoramiento de William Wulf.[1]​ Fue coautor del libro de 1975 de Wulf The Design of an Optimizing Compiler.[4]​ Geschke comenzó a trabajar en el Palo Alto Research Center (PARC) de Xerox en octubre de 1972. Su primer proyecto fue construir una computadora central. Posteriormente, trabajó en lenguajes de programación y desarrolló herramientas que se utilizaron para construir la estación de trabajo de Xerox Star.[5]​ En 1978, Geschke inició el Laboratorio de Ciencias de la Imagen en PARC y realizó investigaciones en las áreas de gráficos, óptica y procesamiento de imágenes. Contrató a John Warnock y juntos desarrollaron Interpress, un lenguaje de descripción de páginas (PDL) que podía describir formas tan complejas como los tipos de letra. Incapaces de convencer a la dirección de Xerox del valor comercial de Interpress, los dos abandonaron Xerox para iniciar su propia empresa. Geschke y Warnock fundaron Adobe en el garaje de Warnock en 1982, nombrando a la empresa como Adobe Creek que corría detrás de la casa de Warnock. Interpress finalmente se convirtió en PostScript.[6]​ Su uso en computadoras Apple resultó en uno de los primeros sistemas de autoedición (DTP), que permitía a los usuarios redactar documentos en una computadora personal e imprimirlos tal como aparecían en la pantalla. Debido a la alta calidad y velocidad a la que se podía imprimir, la innovación ""generó toda una industria"" en la impresión y publicación modernas. Desde diciembre de 1986 hasta julio de 1994, Geschke fue el director de operaciones de Adobe, y desde abril de 1989 hasta abril de 2000 fue el presidente de la empresa. Geschke se retiró como presidente de Adobe en 2000, poco antes de que su socio Warnock dejara el cargo de director ejecutivo. Geschke también se había desempeñado como copresidente de la Junta de Adobe desde septiembre de 1997 a 2017.[7]​[8]​ Adobe fue mencionado en Forbes 400 Best Big Companies en 2009, y ocupó el puesto 1.069 en la lista Forbes Global 2000 en 2010. En la mañana del 26 de mayo de 1992, cuando Geschke llegaba para trabajar en Mountain View, California fue secuestrado a punta de pistola en el estacionamiento de Adobe por dos hombres, Mouhannad Albukhari, 26, de San José, y Jack Sayeh, 25, de Campbell. [9]​Un portavoz del FBI informó que la agencia había monitoreado las llamadas telefónicas que los secuestradores habían hecho a la esposa de Geschke, exigiendo un rescate.[9]​ El portavoz agregó que Albukhari había sido arrestado después de haber recogido el rescate de $650,000 que la hija de Geschke había dejado en un punto de entrega. [9]​Un agente del FBI explicó que, ""después de una discusión caballeresca"", Albukhari los había llevado a un Bungaló en Hollister, donde Sayeh había tenido a Geschke como rehén.[9]​ Geschke fue liberado ileso después de estar detenido durante cuatro días, aunque afirmó que lo habían encadenado.[9]​ Los dos secuestradores finalmente fueron condenados a cadena perpetua en la prisión estatal. En 1999, Charles Geschke fue admitido como miembro de la Association for Computing Machinery (ACM).[10]​ En 2002, fue nombrado miembro del Museo de Historia de la Computación por ""sus logros en la comercialización de la autoedición con John Warnock y por las innovaciones en tipografía escalable, gráficos por computadora e impresión"". En octubre de 2006, Geschke, junto con el cofundador John Warnock, recibieron la Medalla de Logros AeA anual, lo que los convierte en los primeros ejecutivos de software en recibir este premio. En 2008 recibió el premio Computer Entrepreneur Award de la IEEE Computer Society. También ganó la Medalla Nacional de Tecnología e Innovación 2008, otorgada por el presidente Barack Obama.[7]​ El 15 de octubre de 2010, la Sociedad Marconi co-otorgó a Geschke y Warnock el Premio Marconi.[11]​ El domingo 20 de mayo de 2012, Geschke pronunció el discurso de graduación en la Universidad John Carroll en University Heights, Ohio donde había sido profesor de matemáticas al principio de su carrera y recibió un Doctorado Honorario en Letras Humanitarias.[12]​ Geschke sirvió en las juntas directivas de la Sinfónica de San Francisco,[13]​ la Mesa Redonda de Liderazgo Nacional sobre Gestión de la Iglesia, el Commonwealth Club de California,[14]​ Tableau Software,[15]​ la Fundación Marítima Egan, [7]​y la Club de niños y niñas de Nantucket. [7]​También fue miembro del consejo asesor de ciencias de la computación en la Universidad Carnegie Mellon.[7]​ En 1995, fue elegido miembro de la Academia Nacional de Ingeniería. En 2008, fue elegido miembro de la Academia Estadounidense de Artes y Ciencias. En 2010, completó su mandato como presidente del Patronato de la Universidad de San Francisco.[7]​ En 2012, fue elegido miembro de la American Philosophical Society.[16]​ Geschke era católico,[17]​ y conoció a su esposa Nancy ""Nan"" McDonough en una conferencia religiosa sobre acción social en la primavera de 1961.[18]​ Se casaron en 1964.[19]​ Ambos eran graduados de instituciones católicas. En 2012 recibieron el premio St. Elizabeth Ann Seton de la Asociación Nacional de Educación Católica (NCEA) por sus contribuciones a la educación católica.[20]​ La madre de Geschke era asistente legal de un tribunal de quiebras. Tanto el padre como el abuelo paterno de Geschke trabajaron como grabadores de fotografías tipográficas.[21]​ El padre de Geschke ayudó durante los primeros días de Adobe comprobando el trabajo de separación de colores con la lupa de su grabador. Geschke describió el reconocimiento de su padre de la alta calidad de los patrones de medios tonos como ""un momento maravilloso"".[5]​ Geschke falleció el 16 de abril de 2021, a la edad de ochenta y un años. Le sobreviven su esposa y tres hijos.[8]​ "
