instance_id,sentence
modified_WilliamShakespeareHamlet_p000,"Libro descargado en www.elejandria.com, tu sitio web de obras de"
modified_WilliamShakespeareHamlet_p001,dominio público
modified_WilliamShakespeareHamlet_p002,¡Esperamos que lo disfrutéis!
modified_WilliamShakespeareHamlet_p003,Hamlet
modified_WilliamShakespeareHamlet_p004,Por
modified_WilliamShakespeareHamlet_p005,William Shakespeare
modified_WilliamShakespeareHamlet_p006,PERSONAJES
modified_WilliamShakespeareHamlet_p007,"CLAUDIO, Rey de Dinamarca."
modified_WilliamShakespeareHamlet_p008,"GERTRUDIS, Reina de Dinamarca."
modified_WilliamShakespeareHamlet_p009,"HAMLET, Príncipe de Dinamarca."
modified_WilliamShakespeareHamlet_p010,"FORTIMBRÁS, Príncipe de Noruega."
modified_WilliamShakespeareHamlet_p011,LA SOMBRA DEL REY
modified_WilliamShakespeareHamlet_p012,HAMLET.
modified_WilliamShakespeareHamlet_p013,"POLONIO, Sumiller de Corps."
modified_WilliamShakespeareHamlet_p014,"OFELIA, hija de Polonio."
modified_WilliamShakespeareHamlet_p015,"LAERTES, hijo."
modified_WilliamShakespeareHamlet_p016,"HORACIO, amigo de Hamlet."
modified_WilliamShakespeareHamlet_p017,"VOLTIMAN, cortesano."
modified_WilliamShakespeareHamlet_p018,"CORNELIO, cortesano."
modified_WilliamShakespeareHamlet_p019,"RICARDO, cortesano."
modified_WilliamShakespeareHamlet_p020,"GUILLERMO, cortesano."
modified_WilliamShakespeareHamlet_p021,"ENRIQUE, cortesano."
modified_WilliamShakespeareHamlet_p022,"MARCELO, soldado."
modified_WilliamShakespeareHamlet_p023,"BERNARDO, soldado."
modified_WilliamShakespeareHamlet_p024,"FRANCISCO, soldado."
modified_WilliamShakespeareHamlet_p025,"REYNALDO, criado de Polonio."
modified_WilliamShakespeareHamlet_p026,DOS EMBAJADORES de Inglaterra.
modified_WilliamShakespeareHamlet_p027,UN CURA.
modified_WilliamShakespeareHamlet_p028,UN CABALLERO.
modified_WilliamShakespeareHamlet_p029,UN CAPITÁN.
modified_WilliamShakespeareHamlet_p030,UN GUARDIA.
modified_WilliamShakespeareHamlet_p031,UN CRIADO.
modified_WilliamShakespeareHamlet_p032,DOS MARINEROS.
modified_WilliamShakespeareHamlet_p033,DOS SEPULTUREROS.
modified_WilliamShakespeareHamlet_p034,CUATRO CÓMICOS.
