instance_id,sentence
poema_del_alma_3688,"Nada es memoria: todo es invención. Lo que recuerdo es lo que más invento, porque es obra interior inesperada, que no admite proyecto. Soy el último retoque de mí mismo sin cesar. Y eso me lo ha enseñado la memoria."
poema_del_alma_3689,"El sol se pierde -moneda de fuego en su ciega alcancía. Duerme el tesoro, luego, en el pleno sosiego, hasta que lo descubre, de pronto, en el hondón, el picapedrero del día. (Tal le pasa al maduro corazón)."
poema_del_alma_3690,"Por nómadas caminos secundarios se llega siempre al sur, piedras abajo, hasta encontrar los rastros del origen. En estas tierras bajas se aglomeran vestigios de extraviados manantiales, basureros gemelos del crepúsculo, serenas maquinarias desterradas, y también las familias de los dioses que como enjambres fértiles siguen goteando miel por las truncas proezas del enigma."
poema_del_alma_3691,"en el que hablando con Dios desvive su secreto valimiento Ábreme, dios, el juego de tus venas, la voz de tus cartílagos contusos, la animación floral de tus abusos, tu cariñoso abismo de sirenas. No ese estupor de luz en que te entrenas, ni el salar de tus mares inconclusos, no, porque pese a crédulos ilusos, tienes de oscuridad las manos llenas. Sólo tu ser en mí que hable aprensible: o mejor esta lengua corrosiva que se encarna en un verbo remisible. Alto cuévano de agua fugitiva: si bebiéndote bebo lo imposible, no te asustes del dios que te derriba."
poema_del_alma_3692,"Suena el tren en la noche -¿llamando a quién, a quiénes?-, el tren abajo, en los cañaverales, como una larga serie de pañuelos llorados; y su llamar se junta al fuego de los perros, sofocando las luces pequeñas y amarillas, llamándonos, llamándonos, porque nosotros, madre, nos iremos en él, con la canasta virgen y la hermanita enferma y un envoltorio de pañales como dormidas mariposas, y el tren no espera, no, no espera nunca, y por eso corremos entre el polvo nocturno como fieles y nítidas luciérnagas..."
poema_del_alma_3693,"Verdinegra es la piedra, como siempre. Transparente es el agua, como nunca. ¿Podría imaginarse algún riachuelo que se olvidara en la sed del día? Entre el nunca y el siempre hay una alianza. Entre el siempre y el nunca está el abismo."
poema_del_alma_3694,Vi la tierra descalza y quise descalzarme yo también. Oí el agua desnuda y quise desnudarme yo también. Sentí el aire indefenso y quise estar inerme yo también. Me habló el fuego en lo oscuro y quise hallarme solo yo también. Entonces escuché gemir al semejante y busqué convertirme en los cuatro elementos para la redención de ese gemido.
poema_del_alma_3695,"Yo no soy Pedro, Juan, ni Segismundo. Yo no soy pura sangre, ni mestizo, ni natural del valle o de la estepa. Mi pensamiento es un pequeño mundo. Un mundo de orfandad de pura cepa. Vine de no sé dónde, un día en que unas manos se estrecharon a medias. Y tú -poesía, viento- ni lo haces más atroz, ni lo remedias. Yo no soy Gran Collar, ni estoy triste, ni creo en la derrota. Admiro el rostro inmenso del océano, pero prefiero el brillo de una gota. Me gusta la verdad de los que esperan, y el amor hecho vida. Y creo en el retorno de los tiempos, en otra dimensión desconocida. Recuerdo vagamente algunos signos, algún destello de mitología, alguna forma gris de echar la suerte. Y no le tengo miedo a lo que venga: ni al ojo solapado de la vida, ni al párpado sincero de la muerte. o no soy la bandera, ni el perdón, ni el cayado. No soy el que descubre, ni el que salva o reclama ser salvado. Yo no soy Pedro, Juan, ni Segismundo. Yo soy un soplo de aire. Un sonido que pasa. El sonido fugaz de un milagro profundo. pues soy más que la carne misteriosa en que alguien -una vez- me trajo al mundo."
poema_del_alma_3696,"Que vuelvas a ver la enorme catedral y la erizada Capilla y sientas el paso distante, los rumores de los Cruzados y de San Luis. Que vuelvasa la calle Monsieru le Prince para asomarte a los escaparates y, luego, en la calle Vavin, a los inventos de los herboristas y su lento prodigio -la invisibilidad de los olores. Que vuelvas a recoer el brillo de una escritura anhelada en las tardes coyoacanenses. Que abraces los árboles y bebas el agua dulce junto al amargo mar resplandeciente. Que te inclines una vez más y siempre sobe mi rostro y que yo abra los ojos para verte."
poema_del_alma_3697,"Humo de rosas quemadas en el jardín donde hemos conocido a la noche con brazos más extraños que la palabra Deseo, donde sobrevive un aire de recuerdo inútil, mordido por la venenosa fragilidad que distribuye la sombra al pasar, cuando el frío se transforma en una cercanía igual a una oscura concavidad y nuestros ojos tienen un color escondido que respira con un fulgor desnudo y desconcertante. Este frío ha llegado para sembrar una vinculación que necesitaremos cuando el indicio de la soledad nos imprima en la boca un largo sabor de quemadura. La 'estatua de la memoria' se esfuma en medio del día que retrocede, bajo el viento larguísimo y exhausto. El mar de la ciudad pronuncia sus palabras, crecidas como muescas, en el sopor del otoño, y los nombres caen brillando: incrustaciones blancas en un gran sueño negro. Sorda es la sombra, encajada en la sal de la noche que es redonda como un charco y está sobre la cabellera del espejo, mojada en chispas, depositada en los ojos como una donación de palabras desiertas. El ojo de noviembre ha tenido ahora extrañas costumbres, un guiño triste que se equilibraba en el clima que pasó como una brasa sobre nuestras cabezas y sueños, entre las limitaciones del minuto: es árido el descenso por la cerrada orilla de este ojo, el cuerpo del insomne se dobla en el vaso amarillo y distante que es el amanecer como lento morir sin la fantasía de los héroes, una cercada excavación que llega hasta la plataforma primitiva del sueño, una piedra que hemos tenido y era un reflejo de cielo, la invertida colocación de lo que se desplaza por los espejos con un gran temor. Eso tiene el enorme y triste ojo de noviembre, y es verdad que hemos permanecido en ese mirar inalterable y sin mezcla, hemos sobrevivido ahí sin luz pero también sin sombra o aire nutritivo, resistiendo sobre una 'serie de posesiones' que era del tamaño de nuestra vida, que era un papel que respiraba entre los renglones de la mañana, que era la ciudad hundida en el tejido horizontal, como de fantasma o niño, de nuestras ideas más confusas, una extendida palabra en el color absoluto de la mujer asombrada, la oscura definición de un agua de muerte bajo los utensilios que frecuentaban los aparecimientos vespertinos, pero también hemos podido sobrevivir en la Diferencia que es como un traje aéreo o una pistola, y es una distancia cubierta por el vuelo de cierta melancolía en todo semejante a los minerales, y es una brizna de tiempo clavada en todos los pechos... Aun así el ojo de noviembre nos ha puesto en las manos una posesión alguna vez no deseada, una extrañeza y un sonido profundo, un cristal ya no sabemos qué se ha disuelto a nuestras espaldas en la escalera, en la caída del mes de noviembre y en sus vértices claros, o qué palabras ha devorado el miedo pertinaz fijándolas en la garganta con el alfiler del ahogo y borrándolas con los esplendores del grito."
