instance_id,sentence
poema_del_alma_000_001,Entre nosotros crece la ropa en las mañanas se atraviesan mil veces los oficios nos mueven los deberes el futuro las cosas.
poema_del_alma_000_002,Por si no fuera mucho alguien propone la medida para que no te vayas -dicen- es necesario el regateo.
poema_del_alma_000_003,Pero tus manos son mi tiempo y no quiero jugar a detener la boca y los abrazos.
poema_del_alma_000_004,Te irás más tarde -dicen- si encuentro la mesura pero deseo tu cuerpo y este día este preciso cielo la película de hoy la cama próxima tu sudor y tu piel ahora en la tarde.
poema_del_alma_000_005,No voy a retener mis frases ni mi aliento no me quiero tragar ni un poco de silencio ni uno solo de los consentimientos.
poema_del_alma_000_006,¿Por qué la luz a medias?
poema_del_alma_000_007,¿Para que no te vayas cuando te irás?
poema_del_alma_000_008,Nunca se mete el sol antes de tiempo y se pone lo mismo en días nublados.
poema_del_alma_000_009,"Yo quiero tu cobija hasta que quieras te doy mientras mis ansias, mis costumbres, mis ruidos, mi placer, mi desmesura, así no sentiré cuando te marches."
poema_del_alma_001_001,"Caminito del indio, sendero coya sembrado de piedras."
poema_del_alma_001_002,Caminito del indio que junta el valle con las estrellas.
poema_del_alma_001_003,Caminito que anduvo de sur a norte mi raza vieja antes que en la montaña la Pachamama se ensombreciera.
poema_del_alma_001_004,"Cantando en el cerro llorando en el río, se agranda en la noche la pena del indio."
poema_del_alma_001_005,"El sol y la luna y este canto mío besaron sus piedras, camino del indio."
poema_del_alma_001_006,En la noche serrana llora la quena su honda nostalgia.
poema_del_alma_001_007,Y el camino sabe cuál es la coya que el indio llama.
poema_del_alma_001_008,Se levanta en la noche la voz doliente de la baguala.
poema_del_alma_001_009,Y el camino lamenta ser el culpable de la distancia.
poema_del_alma_002_001,"Tú piensas que eres distinto porque te dicen poeta, y tienes un mundo aparte más allá de las estrellas."
poema_del_alma_002_002,"De tanto mirar la luna ya nada sabes mirar, eres como un pobre ciego que no sabe adónde va... Vete a mirar los mineros, los hombres en el trigal, y cántale a los que luchan por un pedazo de pan."
poema_del_alma_002_003,"Poeta de tiernas rimas, vete a vivir a la selva, y aprenderás muchas cosas del hachero y sus miserias."
poema_del_alma_002_004,"Vive junto con el pueblo, no lo mires desde afuera, que lo primero es ser hombre, y lo segundo, poeta."
poema_del_alma_003_001,"Si una guitarra triste me dijera que no quiere morir entristecida, me pondría a rezar sobre su herida con tal de recobrar su primavera."
poema_del_alma_003_002,"Si un triste trovador hoy me pidiera un poquito de luz para su vida, toda la selva en fuego convertida para su corazón yo le ofreciera."
poema_del_alma_003_003,"Mas, de poco valió la proclamada pujanza de mi anhelo, si callada la muerte te llevó, Daniel Reguera."
poema_del_alma_003_004,"Pasa tu zamba por la noche oscura, y el eco de tu voz en la llanura sigue buscando luz y primavera."
poema_del_alma_004_001,"Las cosas que mueren jamás resucitan, las cosas que mueren no tornan jamás."
poema_del_alma_004_002,¡Se quiebran los vasos y el vidrio que queda es polvo por siempre y por siempre será!
poema_del_alma_004_003,"Cuando los capullos caen de la rama dos veces seguidas no florecerán... ¡Las flores tronchadas por el viento impío se agotan por siempre, por siempre jamás!"
poema_del_alma_004_004,"¡Los días que fueron, los días perdidos, los días inertes ya no volverán!"
poema_del_alma_004_005,¡Qué tristes las horas que se desgranaron bajo el aletazo de la soledad!
poema_del_alma_004_006,"¡Qué tristes las sombras, las sombras nefastas, las sombras creadas por nuestra maldad!"
poema_del_alma_004_007,"¡Oh, las cosas idas, las cosas marchitas, las cosas celestes que así se nos van!"
poema_del_alma_004_008,¡Corazón...
poema_del_alma_004_009,silencia!...
poema_del_alma_004_010,¡Cúbrete de llagas!...
poema_del_alma_004_011,-de llagas infectas- ¡cúbrete de mal!...
